Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2026-03-04T15:44:18.617;91;47,9
2026-03-04T15:44:19.831;92;47,7
2026-03-04T15:44:20.236;94;46,8
2026-03-04T15:44:21.452;95;45,2
2026-03-04T15:44:22.267;97;45,8
2026-03-04T15:44:23.474;97;57,1
2026-03-04T15:44:24.691;96;57,1
2026-03-04T15:44:25.906;95;57,3
2026-03-04T15:44:26.716;92;58,0
2026-03-04T15:44:27.527;93;59,4
2026-03-04T15:44:28.336;94;59,0
2026-03-04T15:44:29.147;94;46,3
2026-03-04T15:44:30.362;94;45,6
2026-03-04T15:44:31.172;95;45,8
2026-03-04T15:44:32.386;97;45,1
2026-03-04T15:44:35.222;97;44,2
2026-03-04T15:44:35.224;94;42,1
2026-03-04T15:44:35.226;86;46,7
2026-03-04T15:44:36.439;78;52,5
2026-03-04T15:44:37.246;78;52,4
2026-03-04T15:44:38.461;78;54,4
2026-03-04T15:44:39.274;80;54,7
2026-03-04T15:44:40.489;82;54,8
2026-03-04T15:44:41.700;83;54,8
2026-03-04T15:44:42.512;83;54,9
2026-03-04T15:44:44.537;84;42,8
2026-03-04T15:44:44.539;86;43,9
2026-03-04T15:44:45.346;88;44,1
2026-03-04T15:44:46.156;90;43,1
2026-03-04T15:44:47.371;91;40,0
2026-03-04T15:44:48.990;84;50,0
2026-03-04T15:44:49.398;82;50,0
2026-03-04T15:44:50.204;82;50,0
2026-03-04T15:44:51.826;84;53,3
2026-03-04T15:44:52.230;89;53,8
2026-03-04T15:44:54.256;91;53,8
2026-03-04T15:44:54.662;93;53,8
2026-03-04T15:44:55.471;95;60,6
2026-03-04T15:44:56.278;95;55,7
2026-03-04T15:44:57.496;94;56,6
2026-03-04T15:44:58.309;94;57,3
2026-03-04T15:44:59.521;94;56,7
2026-03-04T15:45:02.356;95;56,2
2026-03-04T15:45:02.358;93;56,0
2026-03-04T15:45:02.359;93;56,0
2026-03-04T15:45:03.572;96;56,4
2026-03-04T15:45:04.787;97;55,7
2026-03-04T15:45:05.189;98;55,4
2026-03-04T15:45:06.405;99;55,4
2026-03-04T15:45:07.218;100;65,8
2026-03-04T15:45:08.430;100;58,6
2026-03-04T15:45:09.646;98;59,4
2026-03-04T15:45:12.077;97;60,9
2026-03-04T15:45:12.079;97;59,4
2026-03-04T15:45:12.482;96;58,8
2026-03-04T15:45:13.310;95;58,9
2026-03-04T15:45:14.506;94;47,3
2026-03-04T15:45:15.315;97;48,0
2026-03-04T15:45:16.125;98;47,1
2026-03-04T15:45:17.341;100;45,1
2026-03-04T15:45:18.150;101;43,9
2026-03-04T15:45:20.177;102;57,6
2026-03-04T15:45:20.180;102;57,6
2026-03-04T15:45:21.391;101;57,9
2026-03-04T15:45:22.203;99;60,0
2026-03-04T15:45:23.821;99;59,7
2026-03-04T15:45:24.227;96;59,8
2026-03-04T15:45:25.447;94;59,8
2026-03-04T15:45:26.252;93;47,8
2026-03-04T15:45:27.466;96;49,0
2026-03-04T15:45:28.278;98;48,1
2026-03-04T15:45:29.484;99;45,8
2026-03-04T15:45:31.111;100;44,4
2026-03-04T15:45:31.515;101;47,0
2026-03-04T15:45:32.324;101;57,2
2026-03-04T15:45:33.135;100;57,0
2026-03-04T15:45:34.350;97;59,6
2026-03-04T15:45:35.162;96;59,8
2026-03-04T15:45:36.375;94;59,5
2026-03-04T15:45:37.995;92;59,7
2026-03-04T15:45:38.401;91;59,5
2026-03-04T15:45:39.616;94;48,1
2026-03-04T15:45:40.425;96;48,3
2026-03-04T15:45:41.236;97;47,6
2026-03-04T15:45:42.451;97;45,1
2026-03-04T15:45:43.262;92;49,7
2026-03-04T15:45:44.475;91;49,5
2026-03-04T15:45:45.291;92;51,3
2026-03-04T15:45:47.716;94;51,4
2026-03-04T15:45:47.718;95;50,4
2026-03-04T15:45:48.526;89;53,2
2026-03-04T15:45:49.338;87;54,2
2026-03-04T15:45:50.147;85;51,9
2026-03-04T15:45:51.359;86;42,0
2026-03-04T15:45:52.170;89;44,6
2026-03-04T15:45:53.386;90;43,5
2026-03-04T15:45:54.602;89;43,8
2026-03-04T15:45:57.030;88;43,8
2026-03-04T15:45:57.032;87;43,6
2026-03-04T15:45:57.441;95;46,9
2026-03-04T15:45:58.246;97;45,5
2026-03-04T15:45:59.460;99;45,2
2026-03-04T15:46:00.269;101;45,0
2026-03-04T15:46:01.483;100;55,6
2026-03-04T15:46:02.317;100;55,3
