Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2026-02-26T16:07:05.293;81;47,1
2026-02-26T16:07:06.507;80;47,1
2026-02-26T16:07:07.320;80;43,1
2026-02-26T16:07:08.532;80;43,2
2026-02-26T16:07:09.343;81;43,2
2026-02-26T16:07:10.557;82;41,5
2026-02-26T16:07:11.367;81;40,6
2026-02-26T16:07:12.582;81;40,6
2026-02-26T16:07:13.797;83;37,3
2026-02-26T16:07:14.607;88;37,8
2026-02-26T16:07:15.437;90;37,9
2026-02-26T16:07:16.632;92;37,7
2026-02-26T16:07:17.440;94;35,6
2026-02-26T16:07:18.658;95;55,4
2026-02-26T16:07:19.467;94;55,3
2026-02-26T16:07:20.683;93;55,4
2026-02-26T16:07:21.900;90;53,6
2026-02-26T16:07:22.303;90;54,2
2026-02-26T16:07:23.516;90;55,0
2026-02-26T16:07:24.327;91;53,8
2026-02-26T16:07:25.542;91;53,8
2026-02-26T16:07:26.353;81;64,4
2026-02-26T16:07:27.568;80;62,5
2026-02-26T16:07:28.783;78;62,5
2026-02-26T16:07:30.402;78;63,3
2026-02-26T16:07:30.406;78;63,0
2026-02-26T16:07:32.020;79;63,0
2026-02-26T16:07:32.439;79;63,0
2026-02-26T16:07:33.643;79;62,6
2026-02-26T16:07:34.453;79;62,7
2026-02-26T16:07:35.667;81;61,7
2026-02-26T16:07:36.477;85;62,0
2026-02-26T16:07:38.503;87;61,9
2026-02-26T16:07:38.505;89;61,9
2026-02-26T16:07:39.312;91;61,9
2026-02-26T16:07:40.933;92;60,9
2026-02-26T16:07:41.338;91;60,8
2026-02-26T16:07:42.552;90;60,7
2026-02-26T16:07:43.364;89;61,8
2026-02-26T16:07:44.578;89;62,3
2026-02-26T16:07:45.387;90;61,7
2026-02-26T16:07:46.602;89;61,7
2026-02-26T16:07:47.412;88;62,6
2026-02-26T16:07:48.626;85;52,9
2026-02-26T16:07:49.441;84;52,9
2026-02-26T16:07:50.652;85;53,4
2026-02-26T16:07:51.462;86;53,0
2026-02-26T16:07:52.677;87;53,0
